Date,Open,High,Low,Close,Volume
2018-03-04 07:00:00,840.69,840.69,836.6,839.25,1487.81
2018-03-04 06:00:00,846.0,846.01,836.79,840.69,3258.68
2018-03-04 05:00:00,847.02,847.02,846.0,846.0,663.63
2018-03-04 04:00:00,846.34,847.62,846.34,847.02,1893.51
2018-03-04 03:00:00,850.01,850.02,845.3,846.34,1933.96
2018-03-04 02:00:00,853.75,853.76,849.99,850.01,1427.69
2018-03-04 01:00:00,853.69,853.9,853.51,853.75,551.61
2018-03-04 00:00:00,854.34,854.67,853.06,853.69,1233.53
2018-03-03 23:00:00,855.85,857.75,852.24,854.34,1348.59
2018-03-03 22:00:00,853.59,855.86,853.59,855.85,739.67
2018-03-03 21:00:00,851.59,854.34,851.58,853.59,1219.8
2018-03-03 20:00:00,858.86,859.93,851.04,851.59,3134.03
2018-03-03 19:00:00,860.0,860.28,858.77,858.86,1247.82
2018-03-03 18:00:00,861.0,861.99,860.0,860.0,1746.55
2018-03-03 17:00:00,861.99,862.0,860.05,861.0,1372.41
2018-03-03 16:00:00,862.07,863.12,861.99,861.99,1163.86
2018-03-03 15:00:00,860.99,863.0,860.0,862.07,1350.62
2018-03-03 14:00:00,866.0,866.0,860.0,860.99,1599.97
2018-03-03 13:00:00,866.68,866.72,866.0,866.0,904.4
2018-03-03 12:00:00,863.1,866.72,862.67,866.68,988.07
2018-03-03 11:00:00,862.21,863.2,861.52,863.1,528.69
2018-03-03 10:00:00,861.86,863.4,861.73,862.21,442.39
2018-03-03 09:00:00,862.1,863.14,860.27,861.86,704.43
2018-03-03 08:00:00,858.0,862.91,856.93,862.1,718.14
2018-03-03 07:00:00,862.47,862.47,858.0,858.0,660.73
2018-03-03 06:00:00,862.0,863.1,860.5,862.47,1394.07
2018-03-03 05:00:00,862.92,862.92,860.0,862.0,1737.99
2018-03-03 04:00:00,859.99,862.92,859.98,862.92,982.0
2018-03-03 03:00:00,862.77,862.92,856.07,859.99,2705.45
2018-03-03 02:00:00,863.2,864.5,860.0,862.77,2511.32
2018-03-03 01:00:00,858.0,863.49,857.99,863.2,2430.33
2018-03-03 00:00:00,854.31,858.0,854.3,858.0,1556.59
2018-03-02 23:00:00,855.98,859.04,854.0,854.31,1802.39
2018-03-02 22:00:00,856.2,856.25,854.99,855.98,1942.82
2018-03-02 21:00:00,856.91,857.75,853.51,856.2,2461.25
2018-03-02 20:00:00,848.69,856.97,848.69,856.91,2370.81
2018-03-02 19:00:00,855.0,856.0,846.97,848.69,4527.01
2018-03-02 18:00:00,855.24,855.57,853.46,855.0,1825.03
2018-03-02 17:00:00,854.0,856.4,853.97,855.24,1793.27
2018-03-02 16:00:00,855.06,855.85,852.96,854.0,1562.2
2018-03-02 15:00:00,853.42,855.17,853.4,855.06,2561.35
2018-03-02 14:00:00,861.68,862.39,853.0,853.42,2322.44
2018-03-02 13:00:00,862.68,863.7,861.5,861.68,1259.53
2018-03-02 12:00:00,859.1,862.84,859.09,862.68,1621.68
2018-03-02 11:00:00,859.1,859.1,858.81,859.1,692.28
